Structural_Category_Consensus,Structure,Column,N,Mean,Median,Q1,Q3,Min,Max,Pct_DDG_gt_1,Pct_DDG_gt_2,Pct_DDG_gt_3
core,7UUY_apo,DDG_7UUY,597,2.0582746097152427,1.04477,0.008632,2.537087,-2.948477,34.970733,51.42378559463987,32.32830820770519,21.273031825795645
core,7UUZ_ReO4_Na,DDG_7UUZ,596,2.296839255033557,1.21054,0.0034015,3.1391225,-2.96809,31.185533,55.20134228187919,37.080536912751676,26.677852348993287
core,7UV0_I_Na,DDG_7UV0,592,1.8568831081081079,0.943392,-0.005851,2.6765025,-3.497,27.927233,48.47972972972973,32.77027027027027,21.283783783783782
core,AF_humano,DDG_AF,697,2.4394673959827835,1.382007,0.251577,3.123563,-3.14311,62.181133,56.3845050215208,40.45911047345768,26.398852223816355
sitio activo,7UUY_apo,DDG_7UUY,17,2.276499176470588,1.889397,0.353108,2.853353,-0.819911,6.98517,64.70588235294117,41.17647058823529,23.52941176470588
sitio activo,7UUZ_ReO4_Na,DDG_7UUZ,17,3.7115394705882356,2.913993,0.936072,5.060143,-0.010867,12.437733,70.58823529411765,64.70588235294117,47.05882352941176
sitio activo,7UV0_I_Na,DDG_7UV0,17,2.936918294117647,1.95775,0.766651,4.12323,-1.274933,16.0415,70.58823529411765,47.05882352941176,41.17647058823529
sitio activo,AF_humano,DDG_AF,17,1.0274169411764706,1.24183,-0.081999,1.68786,-0.673785,3.896443,52.94117647058824,23.52941176470588,5.88235294117647
superficie,7UUY_apo,DDG_7UUY,18,1.279492722222222,0.990526,0.501323,2.040258,-1.295857,4.377287,50.0,27.77777777777778,16.666666666666664
superficie,7UUZ_ReO4_Na,DDG_7UUZ,18,1.792519777777778,1.2771365000000001,0.36944699999999997,2.5772625,-1.243957,7.75076,61.111111111111114,33.33333333333333,11.11111111111111
superficie,7UV0_I_Na,DDG_7UV0,18,0.8240495000000001,0.364402,-0.0043285,1.5084715,-0.617299,3.441013,44.44444444444444,16.666666666666664,5.555555555555555
superficie,AF_humano,DDG_AF,174,0.7380669137931036,0.45676550000000005,0.00888725,1.2964915,-2.507463,5.105017,31.03448275862069,13.793103448275861,8.045977011494253
