"","x.WT_1.gProcessedSignal","x.WT_2.gProcessedSignal","median.1","std.dev.1","p.outlier.x","flag.outlier.x","y.RNA5_TLR4_1.gProcessedSignal","y.RNA5_TLR4_2.gProcessedSignal","median.2","std.dev.2","p.outlier.y","flag.outlier.y","median.diff","pooled.std.dev","z.stats","p.value"
"ZNF865",211529.2,208909.5,210219.35,13047.5003107078,0.895855969172428,".",231812.5,237551.9,234682.2,8987.62622450975,0.639591351386401,".",-24462.85,11203.0060588535,-2.18359696241239,0.0289918769710741
"TONSL",197017.1,222607.6,209812.35,13134.6934993436,0.201476153354415,".",242029.8,235365.4,238697.6,8987.62622450975,0.588620799132959,".",-28885.25,11253.8348680171,-2.56670284740809,0.010267055432437
"CC2D1A",197852,229764.2,213808.1,12256.873554556,0.107526067443435,".",233482.1,248105.8,240793.95,8987.62622450975,0.236762702580552,".",-26985.85,10747.287436462,-2.51094521846004,0.0120408380744585
"PTK6",179682.2,195957.9,187820.05,15700.1991162007,0.439514309324038,".",207178.8,222545.9,214862.35,8987.62622450975,0.202354879533741,".",-27042.3,12792.0615508182,-2.113990766271,0.0345160559820039
"ACTB",216729.7,209739.2,213234.45,12331.9154240464,0.724824483283284,".",167873.3,170117.1,168995.2,8035.28346150034,0.853767129724181,".",44239.25,10407.735544596,4.2506124228887,2.13186795812036e-05
"RPS8",172663.3,189881.9,181272.6,15944.2362936305,0.419341344075448,".",217113.7,207095.4,212104.55,8902.22007356693,0.405376829664986,".",-30831.95,12912.5557738455,-2.38774960898526,0.0169518868628622
"EXOSC2",165076.2,189729.4,177402.8,16023.9738414742,0.250882412954301,".",198692.4,219885.8,209289.1,8775.64179223479,0.0781190306273245,".",-31886.3,12918.5840272428,-2.46825038508538,0.0135775310518966
"TSR1",166321.1,189178.5,177749.8,16018.4328344295,0.286775388703244,".",214110.3,211987.3,213048.8,8945.59300657031,0.86008882672699,".",-35299,12973.315395656,-2.72089276514619,0.00651058777256393
"EEF1A1",165071.4,180526,172798.7,16072.654024645,0.475134236896937,".",210736,190116.3,200426.15,8413.53920720563,0.0862159869993264,".",-27627.45,12828.0522564247,-2.15367457566782,0.031265701326891
"SLC16A12",140632.8,172321.6,156477.2,16059.7895254964,0.152860717328074,".",190638.3,186423.6,188530.95,8060.37087735863,0.726424627284205,".",-32053.75,12706.0304242477,-2.52271944342506,0.0116451267107986
"SNAR-A3",159275.9,203190.4,181233.15,15945.2624767223,0.0394491507381014,".",111443.7,124858.1,118150.9,8997.4969517559,0.289915806926805,".",63082.25,12946.1644290582,4.87265941551068,1.1010594556551e-06
"TUBA1C",163802.9,178642.6,171222.75,16080.3657864207,0.493995836927416,".",136193.7,132620.9,134407.3,9149.0489178425,0.775353522618205,".",36815.45,13082.1110667614,2.81418265080621,0.00489014345151629
"FUT6",129771.5,151721.9,140746.7,16062.4549574421,0.330600142076563,".",170746.7,176372.4,173559.55,8035.28346150034,0.642986899087067,".",-32812.85,12699.7684932938,-2.58373607497861,0.00977365535150971
"MTRNR2L6",139020,126193.2,132606.6,16065.2486710598,0.572356771008935,".",161930.1,161107.7,161518.9,8219.06886360073,0.946436685595456,".",-28912.3,12760.1980362297,-2.26581906628018,0.0234624635210139
"HSP90AA1",129750,166583.2,148166.6,16056.8436456609,0.0999593266258729,".",123556.8,113204.6,118380.7,8995.67594547356,0.414015438199883,".",29785.9,13014.3077721632,2.28870413405393,0.0220965486686267
"PTMA",131478.7,127852.6,129665.65,16064.5126655524,0.873460348158442,".",160216.7,160690.4,160453.55,8259.76389951084,0.969157849535204,".",-30787.9,12772.8670794258,-2.41041418567585,0.015934419399342
"RNU4ATAC",110958,106321.5,108639.75,16062.2127484804,0.840130163400212,".",189908.9,192093,191000.95,8117.64668359533,0.856009499370125,".",-82361.2,12725.7782877341,-6.47199708636954,9.67159874125920e-11
"C5orf63",128882.3,157229,143055.65,16060.5505381962,0.207948034309985,".",117095.4,116453.6,116774.5,9009.9351689116,0.95965485630578,".",26281.15,13021.5247827961,2.01828514236078,0.043561573189865
"CYP2W1",110679,130502.8,120590.9,16060.7670161006,0.386466938433501,".",145826,153451.3,149638.65,8786.97289888251,0.537292090409754,".",-29047.75,12945.2526022314,-2.24389209639624,0.0248393448021168
"MTRNR2L2",98247.9,103428,100837.95,16062.6994942333,0.821822128643729,".",149629.1,136160.2,142894.65,9069.48435420064,0.278590617757695,".",-42056.7,13043.5014756992,-3.22434126130581,0.00126262835504469
"RPS4X",129534.9,140522.7,135028.8,16065.2740934463,0.627985496784343,".",113553.6,102843.3,108198.45,9084.70349289506,0.401023654063934,".",26830.35,13050.3806314486,2.05590555231352,0.0397916208389345
"SNAR-B2",121786.2,153834.8,137810.5,16064.4039374098,0.156574203774604,".",84312.83,93458.61,88885.72,9041.90193936159,0.476423383645804,".",48924.78,13034.9734281528,3.75334712185396,0.000174488964838609
"EIF1",125482.5,156258.2,140870.35,16062.3577458772,0.172495679776033,".",109455.8,101416.1,105435.95,9079.94261987719,0.529032530849507,".",35434.4,13046.9286488584,2.71591889199919,0.00660921074595682
"RPL10",118133,132514.9,125323.95,16062.6752414759,0.528752796062011,".",94290.53,83747.44,89018.985,9041.36538252575,0.411717072933261,".",36304.965,13033.722106395,2.78546409871568,0.00534511586592996
"RRP7BP",95905.48,111095.2,103500.34,16062.7781634921,0.508979876012971,".",138158.7,133078.5,135618.6,9159.03074138186,0.684604116961206,".",-32118.26,13074.7980185381,-2.45650142774375,0.0140297244659193
"OAZ1",123330.7,128146.1,125738.4,16062.8651459075,0.832917265080964,".",105832.8,90489.72,98161.26,9023.36161204952,0.231100465758516,".",27577.14,13027.599385102,2.11682438067112,0.0342747553581757
"XLOC_l2_002910",109176.4,101277.1,105226.75,16062.7117481209,0.731219249229987,".",140483.3,122516.6,131499.95,9108.2573376963,0.152225606986665,".",-26273.2,13057.0107687962,-2.01219103401431,0.0441998032708517
"UBC",128520.8,136749.2,132635,16065.2524444039,0.717210947785572,".",96674.68,84968.25,90821.465,9033.90558646808,0.361895788244434,".",41813.535,13032.7239333849,3.20834962926589,0.00133499098994943
"HMGN2",110800.3,141311.2,126055.75,16063.0102992686,0.181244292763142,".",84786.05,80736.25,82761.15,9053.95800420805,0.752655338690826,".",43294.6,13038.2984974339,3.3205713159981,0.000898334044583209
"VIM",112940.8,135118.1,124029.45,16062.0893077745,0.331741867370452,".",88937.07,84241.87,86589.47,9049.92702660074,0.714780451714965,".",37439.98,13036.3317715859,2.87197201298638,0.00407919091582162
"PLAU",95790.64,127790.1,111790.37,16061.3012284604,0.163533614440292,".",78379.54,69738.57,74059.055,9040.84329668495,0.500994439887832,".",37731.315,13032.6943619989,2.895127741967,0.00379004264253837
"COX2",79557.66,86936.13,83246.895,16061.6793864894,0.747380407453411,".",118379.9,109050.9,113715.4,9042.44643689944,0.463034923201487,".",-30468.505,13033.4834614268,-2.33771002895526,0.0194022955663702
"SNAR-D",93500.18,123017,108258.59,16062.2965528496,0.199094042625515,".",65841.07,71307.85,68574.46,9042.39225494784,0.669960144354876,".",39684.13,13033.8449477509,3.04469864104435,0.0023291356374726
"PSMD2",94578.45,112340.8,103459.625,16062.778482632,0.439949192987055,".",78041.72,66068.25,72054.985,9040.23802744166,0.350929120836808,".",31404.64,13033.3947261431,2.40955182129234,0.0159721276023737
"CAVIN1",65191.56,79217.53,72204.545,16062.166097639,0.537830149245574,".",99643.8,100552.1,100097.95,9033.47635460344,0.943441012411609,".",-27893.405,13030.6729449657,-2.14059589384264,0.0323066402143297
"G0S2",70955.57,109895.3,90425.435,16061.6928224687,0.0900234343327018,".",42701.02,37766.82,40233.92,9046.52959419308,0.699285195770896,".",50191.515,13034.9084005595,3.850546045866,0.000117854769111123
"CATSPER2P1",55768.11,67118.86,61443.485,16061.9544526516,0.616015759323394,".",92193.6,87104.24,89648.92,9038.77977276588,0.691886533331133,".",-28205.435,13032.3812217802,-2.16425797557718,0.0304445560455165
"TUBB6",64008.03,83641.74,73824.885,16062.1257627391,0.388918982073003,".",51940.56,43156.21,47548.385,9045.29100583208,0.491594594751906,".",26276.5,13034.7453638004,2.01588134379472,0.0438123848958856
