"","WT_1.gProcessedSignal","WT_2.gProcessedSignal","RNA5_TLR4_1.gProcessedSignal","RNA5_TLR4_2.gProcessedSignal"
"RPS2",18.1491031975529,18.1491031975529,18.1491031975529,18.1491031975529
"RNA28SN1",17.8740725224721,17.9047706691977,17.9047706691977,17.9047706691977
"lnc-WWC2-1",17.9426421682555,17.8740725224721,17.8081396817954,17.757059830277
"GPR155",17.8224098787205,17.757059830277,17.8224098787205,17.7887336787094
"CC2D1A",17.686009298264,17.8224098787205,17.7887336787094,17.8740725224721
"TONSL",17.6753148075773,17.7887336787094,17.8740725224721,17.8081396817954
"ZNF865",17.757059830277,17.6753148075773,17.757059830277,17.8224098787205
"RPS20",17.7066943979604,17.8081396817954,17.7454438899173,17.7066943979604
"RPS18",17.7454438899173,17.7454438899173,17.6753148075773,17.7454438899173
"XLOC_l2_015478",17.8081396817954,17.7066943979604,17.5133335237218,17.6469063034025
"PTK6",17.588931255873,17.588931255873,17.588931255873,17.686009298264
"RPS8",17.5427614562392,17.5427614562392,17.7066943979604,17.588931255873
"XLOC_l2_004940",17.6202442457187,17.568883780625,17.6202442457187,17.568883780625
"PQLC2",17.6469063034025,17.6202442457187,17.4984569124227,17.5291641990648
"TSR1",17.4722829733825,17.5133335237218,17.686009298264,17.6202442457187
"EXOSC2",17.4625118772659,17.5291641990648,17.5291641990648,17.6753148075773
"ACTB",17.7887336787094,17.686009298264,17.3226346482103,17.341630424645
"EEF1A1",17.4397744513196,17.4625118772659,17.6469063034025,17.4722829733825
"RPLP1",17.4984569124227,17.4722829733825,17.4859792883864,17.5427614562392
"RPS27",17.4859792883864,17.4397744513196,17.568883780625,17.4859792883864
"RPL23A",17.5291641990648,17.4018079000223,17.4103873480656,17.3012185957512
"FAM74A4",17.3940980597508,17.365904817453,17.3376485997136,17.4625118772659
"SLC16A12",17.2007521973744,17.384086120392,17.4722829733825,17.4397744513196
"FTH1",17.3226346482103,17.4103873480656,17.3135471833945,17.4185183284144
"RPL12",17.365904817453,17.3226346482103,17.3940980597508,17.3226346482103
"RPL41",17.2982884693818,17.2122473373468,17.4185183284144,17.3376485997136
"RPL13",17.292586709109,17.2392619657132,17.355222692093,17.3135471833945
"RPL35",17.4103873480656,17.3012185957512,17.2825151910946,17.204446224698
"XLOC_l2_015885",17.384086120392,17.2825151910946,17.2392619657132,17.1704369306474
"RPS28",17.341630424645,17.2007521973744,17.2507125332519,17.2630439139863
"AS3MT",17.204446224698,17.1242272528114,17.3012185957512,17.365904817453
"FUT6",17.0539990119641,17.1704369306474,17.365904817453,17.384086120392
"RPLP0",17.1821388104297,17.2630439139863,17.2630439139863,17.2224422154267
"HIST1H4C",17.3012185957512,17.2224422154267,17.1946895128434,17.1946895128434
"TUBA1C",17.4185183284144,17.4185183284144,16.9926129212816,17.0462428743412
"RPL7A",17.1773310652119,17.2082656657836,17.2982884693818,17.1908672094814
"MT2A",17.2630439139863,17.1821388104297,17.1388602778261,17.2507125332519
"RPS10",17.2082656657836,17.1603268103974,17.2274558561098,17.2007521973744
"PPIA",17.3135471833945,17.292586709109,17.1908672094814,16.9994927757896
"RPL6",17.2507125332519,17.204446224698,17.2082656657836,17.1281008443689
"NPM1",17.2825151910946,17.355222692093,17.1172017483169,17.0344874467444
"RPS20P27",17.1640705967051,17.1908672094814,17.1603268103974,17.2392619657132
"SNAR-A3",17.355222692093,17.6469063034025,16.7057503280385,16.9383253190034
"MTRNR2L6",17.1704369306474,16.9241652131838,17.2449207241915,17.2982884693818
"RPS12",17.2122473373468,17.058633005691,17.1773310652119,17.1821388104297
"RPLP2",17.0230579080318,17.1640705967051,17.1821388104297,17.2082656657836
"RPL35A",17.2224422154267,17.0462428743412,17.1507641592647,17.1388602778261
"XLOC_l2_005557",17.1242272528114,17.2507125332519,17.0194449253889,17.1603268103974
"PTMA",17.0955458925984,16.9383253190034,17.2224422154267,17.292586709109
"HLA-E",17.1172017483169,17.0083388012781,17.1242272528114,17.2449207241915
"RNU4ATAC",16.8409242631695,16.6425387616464,17.4625118772659,17.4984569124227
"TUBA1B",17.2392619657132,17.1773310652119,16.9891142825244,16.9588673650957
"RPL10A",17.0819292580528,17.0955458925984,17.058633005691,17.058633005691
"RPS17",16.9588673650957,16.9745433728684,17.1098097664745,17.1242272528114
"RPL13A",16.9539056900565,16.9539056900565,17.0996675572562,17.1507641592647
"RPL37A",17.1388602778261,16.9805011107478,17.0278281635691,17.0083388012781
"CYP2W1",16.8340439593457,16.9632687519619,17.0819292580528,17.2274558561098
"RPS6",17.1098097664745,16.9263972829973,17.0462428743412,17.0230579080318
"RPL19",16.9805011107478,16.9588673650957,17.0539990119641,17.0819292580528
"HSP90AA1",17.0462428743412,17.341630424645,16.8506426702778,16.8224556663751
"RPL23",17.0083388012781,16.9053524213765,17.0955458925984,17.0403459561632
"MIF",17.1507641592647,17.0344874467444,16.9393314098129,16.8659557217539
"C5orf63",17.0278281635691,17.2449207241915,16.7802920464121,16.8452418684747
"RPS24",17.0996675572562,17.0539990119641,16.8452418684747,16.8506426702778
"RPL31",17.0705600012867,16.7802920464121,16.9745433728684,16.9891142825244
"RPL11",16.8569774624865,17.0278281635691,17.0403459561632,16.8861620880784
"FAM239B",16.8861620880784,16.8098871181469,16.9994927757896,17.0996675572562
"RPS26",17.0895012769499,17.1098097664745,16.7885211366123,16.8049713663163
"RPS29",16.9241652131838,16.8409242631695,16.9805011107478,17.0194449253889
"RPS25",16.9393314098129,16.8367882556884,16.9418977640202,16.9539056900565
"RPL8",16.9263972829973,16.9177425221345,16.9327896627416,16.8771355501329
"TTC19",16.9327896627416,16.8174367731438,16.9053524213765,16.9745433728684
"EIF1",16.9994927757896,17.2274558561098,16.6620729910967,16.6735953585411
"RPS3A",16.8506426702778,16.8452418684747,16.9588673650957,16.8981166492226
"RPS4X",17.0344874467444,17.0705600012867,16.7427207656444,16.6831320925185
"MTRNR2L1",16.948112846113,16.7505672498174,16.8340439593457,16.9632687519619
"MTRNR2L2",16.6735953585411,16.6140268326497,17.1281008443689,17.0705600012867
"RPL21",16.7865962718187,16.8135390663998,16.948112846113,16.9327896627416
"RPL5",16.8049713663163,16.948112846113,16.878856651214,16.7885211366123
"RRP7BP",16.6425387616464,16.7135343063726,17.0083388012781,17.0539990119641
"RPS5",16.8135390663998,16.7961865244287,16.9263972829973,16.8569774624865
"XLOC_l2_002910",16.8098871181469,16.5814711953352,17.0344874467444,16.9177425221345
"RPL26",16.8174367731438,16.7057503280385,16.8981166492226,16.9053524213765
"XLOC_l2_008560",16.6779614499205,16.7330475080768,16.9383253190034,16.878856651214
