;logFC;AveExpr;t;P.Value;adj.P.Val;B
CLDN16;4.28114249999999;8.71381225;18.9833566399268;1.56982284917266e-07;0.000518983433936483;7.91992937228488
RNU12;3.79402699999998;6.6074195;16.5983808337062;4.1408316260439e-07;0.000636799899447141;7.12632665202982
SNORA74A;3.13699450000001;6.24191025;14.2198353993436;1.25617101420007e-06;0.00103822534323636;6.15299549322521
SNORA2B;2.78335500000002;7.665468;12.5979499429893;2.97319597354768e-06;0.00123447467066617;5.35611220841038
SNORA79;3.39942299999997;7.441183;12.0488691508856;4.07429263365339e-06;0.00123447467066617;5.05687943601889
SCARNA8;2.80559399999999;7.8039065;11.9277808127741;4.3751619173175e-06;0.00123447467066617;4.98867758572431
ZNF469;2.57846749999999;7.13186175;11.855171800777;4.56757600045195e-06;0.00123447467066617;4.94738492975095
SCARNA11;2.70694399999998;6.552948;11.6851159849881;5.05678415280672e-06;0.00123447467066617;4.84949218846204
LOC105370526;2.51512499999999;9.3109805;11.6300545896017;5.22766043234313e-06;0.00123447467066617;4.81743611492224
SCARNA14;3.75322749999996;8.30089625;11.3754449746032;6.10749851613593e-06;0.00126196188089659;4.66686497598405
SNORA27;2.683494;10.073205;10.772436071462;8.9426871173509e-06;0.00164247353388678;4.29423684275291
LINC01111;2.20533449999999;10.89523625;10.3001780567852;1.22196249440148e-05;0.0017600858137542;3.98565319501912
NHS-AS1;2.43076149999997;7.59732025;9.99249893620173;1.50795438109389e-05;0.0017600858137542;3.77614941430945
TAS2R31;2.15916650000001;6.07328275;9.84867791589337;1.66697859377222e-05;0.0017600858137542;3.67582470515706
lnc-CEP170-5;2.75827700000005;6.0233045;9.84507927163188;1.67119309855814e-05;0.0017600858137542;3.67329440460212
KCNG1;2.07680550000001;5.95637525;9.77404915225832;1.75688590358457e-05;0.0017600858137542;3.62314918072315
SARDH;2.54208149999996;7.61319325;9.75633536984546;1.77902017893519e-05;0.0017600858137542;3.61058355050653
lnc-SUCLG1-1;2.37317549999999;6.30021875;9.74121874236325;1.79815778127405e-05;0.0017600858137542;3.59984115780032
ASAP1-IT1;2.31807300000003;9.4229195;9.70889096013543;1.83986789875293e-05;0.0017600858137542;3.57680868684741
lnc-ZFHX4-2;2.07267549999999;8.65814175;9.69929193830889;1.85246181285022e-05;0.0017600858137542;3.5699541131393
TAS2R30;2.57408850000005;7.17923475;9.65066257635663;1.91777415071542e-05;0.0017600858137542;3.53511814667107
LIMS2;2.09391699999998;8.6636255;9.24612515256979;2.57390768393726e-05;0.00203478813500335;3.23802262190689
lnc-ARRDC3-1;2.01277916649999;6.64941908325;9.21363189015789;2.63673014619502e-05;0.00203478813500335;3.21357958193424
TAGLN;2.04676550000002;8.305593;9.21036334894985;2.64314448090511e-05;0.00203478813500335;3.21111594415814
SCARNA4;2.01644500000001;5.8916275;9.20267070018587;2.65831029672022e-05;0.00203478813500335;3.205314141736
SNORA51;2.38793000000004;6.433834;9.17774515251175;2.7081269794358e-05;0.00203478813500335;3.18648119578171
SNORA23;2.33274449999999;7.91155725;9.0390525160942;3.00525336579512e-05;0.00215986252767797;3.0807299882616
MYL9;2.05563599999998;11.2130475;9.00317507544583;3.0879701269286e-05;0.00216706079553496;3.05310640033353
LOC105373887;2.00902850000002;8.29728275;8.96031732215123;3.19015599834493e-05;0.00216706079553496;3.01996261057681
SND1-IT1;2.26058100000004;6.1689425;8.86773967625984;3.42413362203753e-05;0.00226403715089122;2.94782184475701
SNORA28;2.49799700000001;7.5308985;8.65693234352604;4.03247904975376e-05;0.00256372610355499;2.78071365796369
lnc-ZCRB1-1;1.85682050000001;7.81468125;8.49383214699967;4.58697518967849e-05;0.00262282264730697;2.64865140782439
lnc-THEMIS-2;1.98725400000002;6.0218455;8.49150074335175;4.5954994328014e-05;0.00262282264730697;2.64674579526758
COL9A2;2.46667299999995;7.4470875;8.48908481090092;4.60435151828033e-05;0.00262282264730697;2.64477055545485
LUCAT1;1.8432065;6.89824375;8.48065585642773;4.63538593675504e-05;0.00262282264730697;2.63787485846447
LINC01193;2.03254100000003;5.720968;8.44292247136538;4.77722729699875e-05;0.00262282264730697;2.60692361746713
MS4A7;2.00880800000003;6.0027805;8.42266939805138;4.85536613455637e-05;0.00262282264730697;2.59025552989881
lnc-EIF4E3-1;1.87471000000002;6.943357;8.40561768548604;4.9222680095721e-05;0.00262282264730697;2.57619207656394
SNORA74B;1.8527285;7.96464325;8.35805056628455;5.11443506503909e-05;0.00262282264730697;2.53681507175329
SCARNA18;1.95852949999998;9.51978225;8.29279860234965;5.39190379263742e-05;0.0026938419166273;2.4824464509035
TAS2R45;2.19421350000005;5.60401525;8.27749758610105;5.4593892442235e-05;0.0026938419166273;2.46963819579928
lnc-ZNF674-3;2.06426600000003;6.078596;8.2222613173426;5.71102219423006e-05;0.00274788683221686;2.42321197888081
ENO3;1.83053449999999;8.15883875;8.21710822105132;5.73515400553427e-05;0.00274788683221686;2.41886565367349
